あいてぃーじょうほうしょりのそようはこれからのじだいのよみかきそろばん,IT、情報処理の素養はこれからの時代の『読み書きそろばん』,普通名詞
あやってるよ,あ、やってるよ,普通名詞
あいてのいっていることをことさらそうやってきょくかいしてあげあしとりをしようとしているんでしょうけれどもそれもからぶりしていますよもうしわけないけれども,相手の言っていることを殊さらそうやって曲解して、揚げ足取りをしようとしているんでしょうけれども、それも空振りしていますよ、申しわけないけれども。,普通名詞
あいてをひぼうちゅうしょうしたってなにもうまれないんです,相手を誹謗中傷したって何も生まれないんです,普通名詞
あくむのようなみんしゅとうせいけん,悪夢のような民主党政権,普通名詞
あさどせいけんはみちをゆずるべきだ,アサド政権は道を譲るべきだ,普通名詞
あなたがそうりになってからやればいいじゃないか,あなたが総理になってからやればいいじゃないか,普通名詞
あさひらしいあくいとねつぞうにみちたでっちあげきじです,朝日らしい、悪意と捏造に満ちたデッチ上げ記事です,普通名詞
あべさんきゅうりょうがあがったからはっぽうしゅがびーるにかわったんだよ,安倍さん給料が上がったから発泡酒がビールに変わったんだよ,普通名詞
あべしんぞう,安倍晋三,普通名詞
あべしんぞうをおとしめようということならやめたほうがいい,安倍晋三を貶めようということならやめたほうがいい,普通名詞
あべせいけんはかねまみれだとこれとんでもないきめつけでありますよ,"安倍政権は""カネまみれ""だとこれとんでもない決めつけでありますよ",普通名詞
あべのみくすはしっぱいだった,アベノミクスは失敗だった,普通名詞
あそこはまさにぎゅっとこうしまっていまして,あそこはまさにぎゅっとこう絞まっていまして,普通名詞
あのみずじゃなくちゃぜったいだめなんだ,あの水じゃなくちゃ、絶対ダメなんだ！,普通名詞
あまくなりました,甘くなりました,普通名詞
あまりにもいいんがこうふんされるからこういうのはしっかりとおちついたぎろんをしましょうよ,あまりにも委員が興奮されるからこういうのはしっかりと落ち着いた議論をしましょうよ,普通名詞
あわれですねあさひらしいみじめないいわけよそうどおりでした,哀れですね。朝日らしい惨めな言い訳。予想通りでした。,普通名詞
ありがとうげんきでね,ありがとう げんきでね,普通名詞
あれはひとりごとだったんですがひとりごとがおおきくなった,あれは独り言だったんですが、独り言が大きくなった,普通名詞
あんだーこんとろーる,アンダーコントロール,普通名詞
いいかげんなことばっかりいうんじゃないよ,いい加減なことばっかり言うんじゃないよ,普通名詞
はんろんさせろよちょっと,反論させろよ、ちょっと。,普通名詞
いいのかよそれだったら,いいのかよそれだったら,普通名詞
